Date Index
2019-04-01 0.6405
2019-04-02 0.6408
2019-04-03 0.6423
2019-04-04 0.6443
2019-04-05 0.6466
2019-04-06 0.6489
2019-04-07 0.652
2019-04-08 0.6529
2019-04-09 0.65655
2019-04-10 0.6604
2019-04-11 0.6646
2019-04-12 0.6699
2019-04-13 0.6758
2019-04-14 0.68113
2019-04-15 0.6881
2019-04-16 0.69527
2019-04-17 0.7031
2019-04-18 0.711460000000001
2019-04-19 0.7203
2019-04-20 0.7292
2019-04-21 0.7382
2019-04-22 0.7472
2019-04-23 0.7616
2019-04-24 0.7703
2019-04-25 0.779
2019-04-26 0.7865
2019-04-27 0.7943
2019-04-28 0.8013
2019-04-29 0.8087
2019-04-30 0.8159
2019-05-01 0.8229
2019-05-02 0.8292
2019-05-03 0.8339
2019-05-04 0.8399
2019-05-05 0.8458
2019-05-06 0.8512
2019-05-07 0.8565
2019-05-08 0.8611
2019-05-09 0.8655
2019-05-10 0.8695
2019-05-11 0.8731
2019-05-12 0.8765
2019-05-13 0.8795
2019-05-14 0.8823
2019-05-15 0.8849
2019-05-16 0.8874
2019-05-17 0.8897
2019-05-18 0.8917
2019-05-19 0.8936
2019-05-20 0.8955
2019-05-21 0.8972
2019-05-22 0.8988
2019-05-23 0.9003
2019-05-24 0.9016
2019-05-25 0.9029
2019-05-26 0.904
2019-05-27 0.9051
2019-05-28 0.9062
2019-05-29 0.9071
2019-05-30 0.908
2019-05-31 0.9088
2019-06-01 0.9094
2019-06-02 0.9101
2019-06-03 0.9107
2019-06-04 0.9112
2019-06-05 0.9117
2019-06-06 0.912
2019-06-07 0.9123
2019-06-08 0.9125
2019-06-09 0.9127
2019-06-10 0.9129
2019-06-11 0.913
2019-06-12 0.913
2019-06-13 0.9129
2019-06-14 0.9127
2019-06-15 0.9126
2019-06-16 0.9124
2019-06-17 0.9122
2019-06-18 0.9119
2019-06-19 0.9117
2019-06-20 0.9114
2019-06-21 0.9112
2019-06-22 0.911
2019-06-23 0.9107
2019-06-24 0.9105
2019-06-25 0.9103
2019-06-26 0.9101
2019-06-27 0.9099
2019-06-28 0.9097
2019-06-29 0.9095
2019-06-30 0.9093
2019-07-01 0.9092
2019-07-02 0.909
2019-07-03 0.9088
2019-07-04 0.9087
2019-07-05 0.9085
2019-07-06 0.9083
2019-07-07 0.9081
2019-07-08 0.9079
2019-07-09 0.9077
2019-07-10 0.9074
2019-07-11 0.9072
2019-07-12 0.9069
2019-07-13 0.9067
2019-07-14 0.9065
2019-07-15 0.9063
2019-07-16 0.9061
2019-07-17 0.906
2019-07-18 0.9058
2019-07-19 0.9057
2019-07-20 0.9056
2019-07-21 0.9056
2019-07-22 0.9055
2019-07-23 0.9054
2019-07-24 0.9054
2019-07-25 0.9054
2019-07-26 0.9054
2019-07-27 0.9054
2019-07-28 0.9054
2019-07-29 0.9054
2019-07-30 0.9054
2019-07-31 0.9055
2019-08-01 0.9055
2019-08-02 0.9056
2019-08-03 0.9057
2019-08-04 0.9058
2019-08-05 0.9059
2019-08-06 0.906
2019-08-07 0.9061
2019-08-08 0.9062
2019-08-09 0.9064
2019-08-10 0.9066
2019-08-11 0.9067
2019-08-12 0.9069
2019-08-13 0.907
2019-08-14 0.907
2019-08-15 0.907
2019-08-16 0.9069
2019-08-17 0.9067
2019-08-18 0.9065
2019-08-19 0.9062
2019-08-20 0.9058
2019-08-21 0.9055
2019-08-22 0.9051
2019-08-23 0.9048
2019-08-24 0.9045
2019-08-25 0.9042
2019-08-26 0.904
2019-08-27 0.9037
2019-08-28 0.9036
2019-08-29 0.9034
2019-08-30 0.9032
2019-08-31 0.9031
2019-09-01 0.9029
2019-09-02 0.9028
2019-09-03 0.9027
2019-09-04 0.9025
2019-09-05 0.9024
2019-09-06 0.9023
2019-09-07 0.9022
2019-09-08 0.9021
2019-09-09 0.902
2019-09-10 0.902
2019-09-11 0.9019
2019-09-12 0.9019
2019-09-13 0.9018
2019-09-14 0.9017
2019-09-15 0.9016
2019-09-16 0.9015
2019-09-17 0.9012
2019-09-18 0.9009
2019-09-19 0.9007
2019-09-20 0.9001
2019-09-21 0.8995
2019-09-22 0.8988
2019-09-23 0.898
2019-09-24 0.897
2019-09-25 0.8958
2019-09-26 0.8944
2019-09-27 0.8928
2019-09-28 0.8911
2019-09-29 0.8891
2019-09-30 0.887
2019-10-01 0.8847
2019-10-02 0.8821
2019-10-03 0.8794
2019-10-04 0.8766
2019-10-05 0.8735
2019-10-06 0.8707
2019-10-07 0.8677
2019-10-08 0.8646
2019-10-09 0.8602
2019-10-10 0.8568
2019-10-11 0.8536
2019-10-12 0.8499
2019-10-13 0.8463
2019-10-14 0.8427
2019-10-15 0.8388
2019-10-16 0.8337
2019-10-17 0.828660000000001
2019-10-18 0.8244
2019-10-19 0.8185
2019-10-20 0.8136
2019-10-21 0.8091
2019-10-22 0.8047
2019-10-23 0.8005
2019-10-24 0.7951
2019-10-25 0.7892
2019-10-26 0.7855
2019-10-27 0.7835
2019-10-28 0.7799
2019-10-29 0.7769
2019-10-30 0.773
2019-10-31 0.7701
