Date Index
2019-01-01 0.1991
2019-01-02 0.1976
2019-01-03 0.1962
2019-01-04 0.1951
2019-01-05 0.1941
2019-01-06 0.193
2019-01-07 0.192
2019-01-08 0.1912
2019-01-09 0.1908
2019-01-10 0.19
2019-01-11 0.1895
2019-01-12 0.189
2019-01-13 0.18908
2019-01-14 0.1888
2019-01-15 0.1885
2019-01-16 0.1887
2019-01-17 0.1887
2019-01-18 0.1886
2019-01-19 0.18853
2019-01-20 0.1885
2019-01-21 0.1885
2019-01-22 0.1885
2019-01-23 0.1884
2019-01-24 0.18856
2019-01-25 0.1888
2019-01-26 0.1887
2019-01-27 0.18898
2019-01-28 0.1894
2019-01-29 0.1896
2019-01-30 0.18972
2019-01-31 0.1901
2019-02-01 0.1902
2019-02-02 0.1904
2019-02-03 0.1901
2019-02-04 0.19024
2019-02-05 0.19
2019-02-06 0.19
2019-02-07 0.1895
2019-02-08 0.1893
2019-02-09 0.1892
2019-02-10 0.1891
2019-02-11 0.1889
2019-02-12 0.1888
2019-02-13 0.18856
2019-02-14 0.1886
2019-02-15 0.1881
2019-02-16 0.1876
2019-02-17 0.1875
2019-02-18 0.1874
2019-02-19 0.1873
2019-02-20 0.1871
2019-02-21 0.1867
2019-02-22 0.1864
2019-02-23 0.1862
2019-02-24 0.18593
2019-02-25 0.18533
2019-02-26 0.1855
2019-02-27 0.185
2019-02-28 0.1848
2019-03-01 0.1846
2019-03-02 0.18488
2019-03-03 0.18508
2019-03-04 0.18518
2019-03-05 0.1853
2019-03-06 0.1857
2019-03-07 0.1858
2019-03-08 0.18609
2019-03-09 0.18669
2019-03-10 0.1873
2019-03-11 0.1878
2019-03-12 0.18849
2019-03-13 0.1893
2019-03-14 0.1907
2019-03-15 0.1917
2019-03-16 0.1934
2019-03-17 0.1948
2019-03-18 0.1966
2019-03-19 0.1985
2019-03-20 0.2004
2019-03-21 0.20269
2019-03-22 0.2051
2019-03-23 0.2076
2019-03-24 0.21029
2019-03-25 0.21349
2019-03-26 0.21689
2019-03-27 0.22079
2019-03-28 0.2244
2019-03-29 0.2283
2019-03-30 0.2321
2019-03-31 0.2363
2019-04-01 0.2409
2019-04-02 0.24579
2019-04-03 0.2505
2019-04-04 0.2559
2019-04-05 0.2612
2019-04-06 0.26649
2019-04-07 0.272
2019-04-08 0.2782
2019-04-09 0.2838
2019-04-10 0.28949
2019-04-11 0.2955
2019-04-12 0.301
2019-04-13 0.3066
2019-04-14 0.3123
2019-04-15 0.3182
2019-04-16 0.32451
2019-04-17 0.33
2019-04-18 0.3362
2019-04-19 0.3416
2019-04-20 0.348
2019-04-21 0.3538
2019-04-22 0.36
2019-04-23 0.3662
2019-04-24 0.3722
2019-04-25 0.3787
2019-04-26 0.38513
2019-04-27 0.3918
2019-04-28 0.3982
2019-04-29 0.4048
2019-04-30 0.4119
2019-05-01 0.41893
2019-05-02 0.426
2019-05-03 0.4333
2019-05-04 0.4405
2019-05-05 0.4486
2019-05-06 0.4566
2019-05-07 0.4644
2019-05-08 0.4727
2019-05-09 0.4813
2019-05-10 0.4897
2019-05-11 0.4987
2019-05-12 0.5078
2019-05-13 0.51654
2019-05-14 0.5254
2019-05-15 0.5348
2019-05-16 0.5445
2019-05-17 0.5536
2019-05-18 0.5629
2019-05-19 0.5723
2019-05-20 0.5811
2019-05-21 0.5904
2019-05-22 0.5998
2019-05-23 0.609
2019-05-24 0.6182
2019-05-25 0.6272
2019-05-26 0.6364
2019-05-27 0.6452
2019-05-28 0.6537
2019-05-29 0.66214
2019-05-30 0.67064
2019-05-31 0.6786
2019-06-01 0.68644
2019-06-02 0.6943
2019-06-03 0.7018
2019-06-04 0.7093
2019-06-05 0.7162
2019-06-06 0.7229
2019-06-07 0.7294
2019-06-08 0.7358
2019-06-09 0.7418
2019-06-10 0.7477
2019-06-11 0.7533
2019-06-12 0.7589
2019-06-13 0.7644
2019-06-14 0.7695
2019-06-15 0.7743
2019-06-16 0.7791
2019-06-17 0.7837
2019-06-18 0.7882
2019-06-19 0.7923
2019-06-20 0.7963
2019-06-21 0.8003
2019-06-22 0.8041
2019-06-23 0.8076
2019-06-24 0.8111
2019-06-25 0.8144
2019-06-26 0.8175
2019-06-27 0.8204
2019-06-28 0.8231
2019-06-29 0.8258
2019-06-30 0.8283
2019-07-01 0.8306
2019-07-02 0.8325
2019-07-03 0.8347
2019-07-04 0.8366
2019-07-05 0.83835
2019-07-06 0.83995
2019-07-07 0.84145
2019-07-08 0.8428
2019-07-09 0.8441
2019-07-10 0.8452
2019-07-11 0.8463
2019-07-12 0.8471
2019-07-13 0.8478
2019-07-14 0.8485
2019-07-15 0.8491
2019-07-16 0.84965
2019-07-17 0.8501
2019-07-18 0.8507
2019-07-19 0.8511
2019-07-20 0.8513
2019-07-21 0.8516
2019-07-22 0.8518
2019-07-23 0.8519
2019-07-24 0.8521
2019-07-25 0.8521
2019-07-26 0.8523
2019-07-27 0.8523
2019-07-28 0.8524
2019-07-29 0.8523
2019-07-30 0.8522
2019-07-31 0.8522
2019-08-01 0.8521
2019-08-02 0.85205
2019-08-03 0.852
2019-08-04 0.8519
2019-08-05 0.8517
2019-08-06 0.8515
