Date Index
2019-01-01 0.86648
2019-01-02 0.86034
2019-01-03 0.85376
2019-01-04 0.84748
2019-01-05 0.84044
2019-01-06 0.83188
2019-01-07 0.82208
2019-01-08 0.81196
2019-01-09 0.8041
2019-01-10 0.79514
2019-01-11 0.78658
2019-01-12 0.77716
2019-01-13 0.7668
2019-01-14 0.75518
2019-01-15 0.7442
2019-01-16 0.7349
2019-01-17 0.72574
2019-01-18 0.7168
2019-01-19 0.70868
2019-01-20 0.6998
2019-01-21 0.68968
2019-01-22 0.68048
2019-01-23 0.67266
2019-01-24 0.6651
2019-01-25 0.65664
2019-01-26 0.64958
2019-01-27 0.64324
2019-01-28 0.63492
2019-01-29 0.62902
2019-01-30 0.62258
2019-01-31 0.61738
2019-02-01 0.6116
2019-02-02 0.60626
2019-02-03 0.6013
2019-02-04 0.5958
2019-02-05 0.59158
2019-02-06 0.58748
2019-02-07 0.58348
2019-02-08 0.5797
2019-02-09 0.5762
2019-02-10 0.57268
2019-02-11 0.56896
2019-02-12 0.56488
2019-02-13 0.56288
2019-02-14 0.56094
2019-02-15 0.55868
2019-02-16 0.55738
2019-02-17 0.55616
2019-02-18 0.55488
2019-02-19 0.5536
2019-02-20 0.5529
2019-02-21 0.55266
2019-02-22 0.55308
2019-02-23 0.5528
2019-02-24 0.5535
2019-02-25 0.55324
2019-02-26 0.55368
2019-02-27 0.55438
2019-02-28 0.55548
2019-03-01 0.55718
2019-03-02 0.55848
2019-03-03 0.5597
2019-03-04 0.56118
2019-03-05 0.5628
2019-03-06 0.56444
2019-03-07 0.5657
2019-03-08 0.56782
2019-03-09 0.56942
2019-03-10 0.5706
2019-03-11 0.57226
2019-03-12 0.5737
2019-03-13 0.5751
2019-03-14 0.57658
2019-03-15 0.57788
2019-03-16 0.57938
2019-03-17 0.58138
2019-03-18 0.582
2019-03-19 0.5841
2019-03-20 0.58556
2019-03-21 0.5869
2019-03-22 0.5885
2019-03-23 0.59038
2019-03-24 0.59218
